Path,Pitch,PercentSilence,FrequencyMagnitude
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/ech/frog_03.wav,"[85.72001, 88.09328, 83.09307, 85.09182, 83.74006, 84.43961, 87.190384]","[51.47845804988662, 49.28344671201814, 51.678004535147394, 52.26303854875283, 50.14512471655328, 53.69614512471655, 52.60641240680407]","[(8546, 1355.6422357647127), (22453, 2.027930292449428), (44127, 0.532065237543657), (87255, 0.07893064376418833), (110223, 0.5320652375436353), (131897, 2.0279302924494154), (145804, 1355.6422357647127)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/ech/frog_04.wav,"[86.19432, 87.193214, 87.94223, 87.902596, 87.16427, 87.913216, 87.67267]","[54.44444444444444, 51.2063492063492, 53.91383219954648, 54.621315192743765, 52.35827664399093, 54.59410430839002, 56.269703968456085]","[(8671, 1273.9325960675328), (22448, 2.1592639013985333), (44164, 0.6363419671658465), (83372, 0.14445633975937672), (110186, 0.6363419671658579), (131902, 2.1592639013985258), (145679, 1273.9325960675328)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/ech/frog_06.wav,"[85.1388, 87.92464, 87.97524, 87.91476, 87.84715, 87.8906, 88.02708]","[53.192743764172334, 51.86394557823129, 52.058956916099774, 52.19047619047619, 52.9750566893424, 51.718820861678005, 49.33434615756149]","[(8566, 1417.2707349064287), (22442, 1.977759545846734), (45177, 0.3254431421575782), (71292, 0.15792892373322145), (109173, 0.3254431421575641), (131908, 1.9777595458467268), (145784, 1417.2707349064285)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/ech/frog_07.wav,"[84.54823, 88.02163, 87.16167, 84.96348, 82.22031, 85.65713, 87.95476]","[51.88208616780045, 54.08616780045352, 48.140589569160994, 50.176870748299315, 54.507936507936506, 55.229024943310655, 58.03395010230696]","[(8649, 1375.0817835184898), (22480, 1.7271149939942634), (44196, 0.3504769298190099), (71585, 0.06892390151597214), (110154, 0.35047692981899536), (131870, 1.727114993994269), (145701, 1375.0817835184898)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/ech/frog_08.wav,"[85.73264, 91.04431, 91.11583, 91.13933, 91.149994, 91.08139, 91.04297]","[54.49886621315193, 53.06575963718821, 45.05668934240363, 52.27210884353741, 48.67573696145124, 49.15192743764172, 55.79505238291782]","[(10373, 693.9663758557969), (25122, 8.576346438032939), (51612, 2.2894303724839333), (70414, 0.3088406242088615), (102738, 2.2894303724839262), (129228, 8.57634643803294), (143977, 693.9663758557969)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/ech/frog_09.wav,"[82.38842, 84.00332, 80.14793, 85.5917, 84.27791, 81.38448, 87.1464]","[47.3514739229025, 61.4875283446712, 61.002267573696145, 60.9750566893424, 56.82993197278912, 52.34013605442177, 49.218427546477216]","[(8552, 1112.5398971612453), (24466, 2.958222970848941), (44108, 0.7891957790570546), (87134, 0.16050684883919722), (110242, 0.7891957790570399), (129884, 2.9582229708489685), (145798, 1112.5398971612453)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/ech/frog_10.wav,"[84.63266, 83.699326, 84.44016, 84.46308, 86.49957, 87.93027, 87.2211]","[52.53514739229025, 49.58730158730159, 49.43310657596371, 50.19047619047619, 53.09750566893424, 49.98639455782313, 49.49417333345042]","[(8546, 1206.5930993478105), (22453, 2.068487133267331), (44127, 0.5213754574540814), (86274, 0.07773003060859648), (110223, 0.5213754574541049), (131897, 2.0684871332673134), (145804, 1206.5930993478105)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/ga/chicken_1.wav,"[60.90902, 37.27893, 47.171944, 50.65063, 57.67326, 60.409634, 53.024754]","[63.40589569160998, 48.58049886621315, 26.031746031746025, 28.993197278911566, 65.16553287981858, 58.06349206349206, 68.63265607826249]","[(8354, 159.26369858988477), (28782, 18.783487859366907), (44586, 2.479335905545271), (86924, 0.2640787534090347), (109764, 2.47933590554527), (125568, 18.783487859366907), (145996, 159.26369858988477)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/ga/chicken_11.wav,"[74.7705, 59.648262, 56.82415, 65.91027, 57.807228, 71.16208, 54.29008]","[57.32879818594105, 67.40136054421768, 65.78231292517006, 67.24263038548753, 55.55102040816327, 69.64172335600907, 32.60682670596793]","[(11817, 124.79834973392559), (22117, 12.209289462870773), (44152, 3.9014582685994514), (83793, 1.3070984997355528), (110198, 3.9014582685994528), (132233, 12.209289462870771), (142533, 124.79834973392558)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/ga/chicken_12.wav,"[53.072903, 63.547947, 61.085308, 65.51991, 63.454464, 53.224995, 60.873558]","[62.23582766439909, 68.96145124716554, 69.21541950113378, 69.68253968253968, 66.8390022675737, 35.646258503401356, 29.577990974027912]","[(12555, 193.36326644641102), (22130, 20.497513726995464), (44357, 7.862477128846923), (68968, 2.1374536375911193), (109993, 7.862477128846921), (132220, 20.497513726995468), (141795, 193.36326644641102)]"
